region_A,A_sig,B_sig,C_sig,D_sig,A_bkg,B_bkg,C_bkg,D_bkg,B_data,C_data,D_data,A_pred,fom
abcdnet_score > 0.8134343434343435 and abs_deta_jj > 4.0 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6,5.920702861743415,2.6914595515103166,5.789555962114889,3.2364286696103846,277.4082097963758,991.6303593176751,5542.082203740046,20308.916526181347,1837,10071,35744,517.5813283348255,0.2602459415589074
abcdnet_score > 0.8038383838383839 and abs_deta_jj > 4.121212121212121 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6,5.9962109896905025,2.898247501907158,5.464666192987702,3.2790223603936424,284.7154504719042,1112.4613622371508,5098.441563793193,20624.41892253319,2081,9259,36312,530.6229070279797,0.26030583824502845
abcdnet_score > 0.8 and abs_deta_jj > 4.161616161616162 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6,6.024247810629069,2.982675113669436,5.3573403506008965,3.2738837700796037,283.00422133266227,1160.1358435519478,4975.241101935839,20701.656132214997,2163,9007,36475,534.1231254283756,0.26066464958526864
abcdnet_score > 0.8076767676767678 and abs_deta_jj > 4.040404040404041 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6,6.011288223214949,2.770277537631263,5.627671292940322,3.2289099911924724,285.15628183209634,1058.008323009781,5388.496005219547,20388.37668897401,1950,9771,35919,530.4560260586319,0.26100141261511367
abcdnet_score > 0.8095959595959596 and abs_deta_jj > 4.040404040404041 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6,5.970850451394788,2.749068847979106,5.668109064760481,3.250118680844629,280.22595733487634,1041.7352396628328,5393.426329716767,20404.649772320958,1921,9777,35948,522.4662568154,0.2612203880461613
abcdnet_score > 0.8057575757575758 and abs_deta_jj > 4.08080808080808 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6,6.0181695428549595,2.829347181118501,5.53978754442872,3.2508427765768246,280.47696331167157,1086.7162499184851,5238.297227720705,20514.546858084577,2009,9534,36102,530.5469503074622,0.26127779797539635
abcdnet_score > 0.8153535353535354 and abs_deta_jj > 4.0 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6,5.881854558453309,2.6627128745740496,5.828404265404995,3.2651753465466524,272.75959083736745,976.7264599627545,5546.730822699055,20323.820425536265,1796,10081,35785,505.9515439429929,0.2614928501346826
abcdnet_score > 0.8019191919191919 and abs_deta_jj > 4.161616161616162 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6,5.994596968650276,2.9631659466910176,5.386991192579689,3.293392937058022,280.6020419074473,1139.0468201739309,4977.643281361053,20722.74515559301,2122,9016,36516,523.9333990579472,0.2618918283679161
abcdnet_score > 0.8038383838383839 and abs_deta_jj > 4.161616161616162 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6,5.956207216640433,2.938251274957226,5.425380944589531,3.3183076087918137,276.85860529537246,1120.3182074136823,4981.386717973127,20741.473768353255,2091,9024,36547,516.299121678934,0.26213143521335797
abcdnet_score > 0.8172727272727273 and abs_deta_jj > 4.0 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6,5.8346197531647785,2.6404348094461882,5.8756390706935235,3.2874534116745138,270.3861127905494,955.6837548693825,5549.104300745873,20344.86313062963,1757,10090,35824,494.86740732469855,0.26228178594953644
