+--------+----------------------------+-------------+----------------------------+----------------------------+----------------------------+
| Bin#   | #rightarrow 0.46 (210.00)  |    Total    | #leftarrow 0.46 (1170.00)  | #rightarrow 0.98 (180.00)  | #leftarrow 0.92 (1200.00)  |
| Bin47  |         0.7243 ± 0         | 0.7243 ± 0  |         0.8261 ± 0         |         0.329 ± 0          |         0.6849 ± 0         |
| Bin48  |         0.6974 ± 0         | 0.6974 ± 0  |         0.8508 ± 0         |         0.3151 ± 0         |         0.7071 ± 0         |
| Bin49  |         0.6539 ± 0         | 0.6539 ± 0  |         0.8538 ± 0         |         0.2929 ± 0         |         0.7099 ± 0         |
| Bin50  |         0.6485 ± 0         | 0.6485 ± 0  |         0.8557 ± 0         |         0.2901 ± 0         |         0.7116 ± 0         |
| Bin51  |         0.6452 ± 0         | 0.6452 ± 0  |         0.8646 ± 0         |         0.2884 ± 0         |         0.7197 ± 0         |
| Bin52  |         0.6292 ± 0         | 0.6292 ± 0  |         0.8789 ± 0         |         0.2803 ± 0         |         0.7326 ± 0         |
| Bin53  |         0.6034 ± 0         | 0.6034 ± 0  |         0.8895 ± 0         |         0.2674 ± 0         |         0.7422 ± 0         |
| Bin54  |         0.584 ± 0          |  0.584 ± 0  |         0.8966 ± 0         |         0.2578 ± 0         |         0.7487 ± 0         |
| Bin55  |         0.5709 ± 0         | 0.5709 ± 0  |         0.9058 ± 0         |         0.2513 ± 0         |         0.757 ± 0          |
| Bin56  |         0.554 ± 0          |  0.554 ± 0  |         0.9163 ± 0         |         0.243 ± 0          |         0.7666 ± 0         |
| Bin57  |         0.5343 ± 0         | 0.5343 ± 0  |         0.9327 ± 0         |         0.2334 ± 0         |         0.7815 ± 0         |
| Bin58  |         0.5035 ± 0         | 0.5035 ± 0  |         0.9396 ± 0         |         0.2185 ± 0         |         0.7879 ± 0         |
| Bin59  |         0.4902 ± 0         | 0.4902 ± 0  |         0.9406 ± 0         |         0.2121 ± 0         |         0.7888 ± 0         |
| Bin60  |         0.4883 ± 0         | 0.4883 ± 0  |         0.9447 ± 0         |         0.2112 ± 0         |         0.7925 ± 0         |
| Bin61  |         0.4805 ± 0         | 0.4805 ± 0  |         0.9505 ± 0         |         0.2075 ± 0         |         0.7979 ± 0         |
| Bin62  |         0.4693 ± 0         | 0.4693 ± 0  |         0.9602 ± 0         |         0.2021 ± 0         |         0.8068 ± 0         |
| Bin63  |         0.4504 ± 0         | 0.4504 ± 0  |         0.9728 ± 0         |         0.1932 ± 0         |         0.8184 ± 0         |
| Bin64  |         0.4257 ± 0         | 0.4257 ± 0  |         0.9805 ± 0         |         0.1816 ± 0         |         0.8255 ± 0         |
| Bin65  |         0.4106 ± 0         | 0.4106 ± 0  |         0.9939 ± 0         |         0.1745 ± 0         |         0.8379 ± 0         |
| Bin66  |         0.3837 ± 0         | 0.3837 ± 0  |         1.003 ± 0          |         0.1621 ± 0         |         0.8459 ± 0         |
| Bin67  |         0.3663 ± 0         | 0.3663 ± 0  |         1.013 ± 0          |         0.1541 ± 0         |         0.8555 ± 0         |
| Bin68  |         0.345 ± 0          |  0.345 ± 0  |         1.017 ± 0          |         0.1445 ± 0         |         0.8588 ± 0         |
| Bin69  |         0.3377 ± 0         | 0.3377 ± 0  |         1.027 ± 0          |         0.1412 ± 0         |         0.8688 ± 0         |
| Bin70  |         0.3155 ± 0         | 0.3155 ± 0  |         1.042 ± 0          |         0.1312 ± 0         |         0.8828 ± 0         |
| Bin71  |         0.2838 ± 0         | 0.2838 ± 0  |         1.044 ± 0          |         0.1172 ± 0         |         0.8849 ± 0         |
| Bin72  |         0.2792 ± 0         | 0.2792 ± 0  |         1.046 ± 0          |         0.1151 ± 0         |         0.8865 ± 0         |
| Bin73  |         0.2754 ± 0         | 0.2754 ± 0  |         1.052 ± 0          |         0.1135 ± 0         |         0.8919 ± 0         |
| Bin74  |         0.2631 ± 0         | 0.2631 ± 0  |         1.052 ± 0          |         0.1081 ± 0         |         0.8919 ± 0         |
| Bin75  |         0.2631 ± 0         | 0.2631 ± 0  |         1.057 ± 0          |         0.1081 ± 0         |         0.8964 ± 0         |
| Bin76  |         0.2528 ± 0         | 0.2528 ± 0  |         1.059 ± 0          |         0.1036 ± 0         |         0.8983 ± 0         |
| Bin77  |         0.2486 ± 0         | 0.2486 ± 0  |         1.065 ± 0          |         0.1017 ± 0         |         0.9037 ± 0         |
| Bin78  |         0.2359 ± 0         | 0.2359 ± 0  |         1.074 ± 0          |        0.09628 ± 0         |         0.9123 ± 0         |
| Bin79  |         0.216 ± 0          |  0.216 ± 0  |         0.9933 ± 0         |        0.08771 ± 0         |         0.9172 ± 0         |
| Bin80  |           0 ± 0            |    0 ± 0    |           1 ± 0            |        0.08279 ± 0         |         0.9239 ± 0         |
| Bin81  |           0 ± 0            |    0 ± 0    |           0 ± 0            |           0 ± 0            |           0 ± 0            |
+--------+----------------------------+-------------+----------------------------+----------------------------+----------------------------+
