+---------+--------------------------+------------+-------------------------+--------------------------+-------------------------+
| Bin#    | #rightarrow 0.63 (0.96)  |   Total    | #leftarrow 0.22 (1.00)  | #rightarrow 0.98 (0.18)  | #leftarrow 0.91 (0.99)  |
| Bin46   |        1.626 ± 0         | 1.626 ± 0  |       0.09742 ± 0       |        0.9219 ± 0        |       0.08036 ± 0       |
| Bin47   |        1.627 ± 0         | 1.627 ± 0  |       0.09949 ± 0       |        0.9196 ± 0        |       0.08229 ± 0       |
| Bin48   |        1.633 ± 0         | 1.633 ± 0  |       0.1038 ± 0        |        0.9177 ± 0        |       0.08602 ± 0       |
| Bin49   |        1.633 ± 0         | 1.633 ± 0  |       0.1074 ± 0        |        0.914 ± 0         |       0.08949 ± 0       |
| Bin50   |        1.647 ± 0         | 1.647 ± 0  |       0.1118 ± 0        |        0.9105 ± 0        |       0.09335 ± 0       |
| Bin51   |        1.647 ± 0         | 1.647 ± 0  |       0.1171 ± 0        |        0.9066 ± 0        |       0.09823 ± 0       |
| Bin52   |        1.657 ± 0         | 1.657 ± 0  |       0.1216 ± 0        |        0.9018 ± 0        |       0.1027 ± 0        |
| Bin53   |        1.675 ± 0         | 1.675 ± 0  |       0.1266 ± 0        |        0.8973 ± 0        |       0.1071 ± 0        |
| Bin54   |        1.676 ± 0         | 1.676 ± 0  |       0.1314 ± 0        |        0.8929 ± 0        |       0.1115 ± 0        |
| Bin55   |         1.68 ± 0         |  1.68 ± 0  |       0.1399 ± 0        |        0.8885 ± 0        |        0.119 ± 0        |
| Bin56   |        1.676 ± 0         | 1.676 ± 0  |       0.1473 ± 0        |        0.881 ± 0         |       0.1257 ± 0        |
| Bin57   |        1.677 ± 0         | 1.677 ± 0  |       0.1551 ± 0        |        0.8743 ± 0        |        0.134 ± 0        |
| Bin58   |        1.723 ± 0         | 1.723 ± 0  |       0.1618 ± 0        |        0.866 ± 0         |       0.1402 ± 0        |
| Bin59   |        1.722 ± 0         | 1.722 ± 0  |       0.1687 ± 0        |        0.8598 ± 0        |        0.148 ± 0        |
| Bin60   |        1.776 ± 0         | 1.776 ± 0  |       0.1786 ± 0        |        0.852 ± 0         |       0.1576 ± 0        |
| Bin61   |        1.791 ± 0         | 1.791 ± 0  |        0.189 ± 0        |        0.8424 ± 0        |       0.1679 ± 0        |
| Bin62   |         1.81 ± 0         |  1.81 ± 0  |       0.1984 ± 0        |        0.8321 ± 0        |       0.1771 ± 0        |
