+--------+--------------------------+-------------+---------------------------+---------------------------+---------------------------+
| Bin#   | #rightarrow 0.46 (0.00)  |    Total    | #leftarrow 0.46 (420.00)  | #rightarrow 0.96 (40.00)  | #leftarrow 0.98 (920.00)  |
| Bin47  |          0 ± 0           |    0 ± 0    |        0.9843 ± 0         |        0.02164 ± 0        |        0.9828 ± 0         |
| Bin48  |          0 ± 0           |    0 ± 0    |        0.9929 ± 0         |        0.01716 ± 0        |        0.9922 ± 0         |
| Bin49  |          0 ± 0           |    0 ± 0    |        0.9948 ± 0         |       0.007806 ± 0        |        0.9943 ± 0         |
| Bin50  |          0 ± 0           |    0 ± 0    |        0.9948 ± 0         |       0.005658 ± 0        |        0.9943 ± 0         |
| Bin51  |          0 ± 0           |    0 ± 0    |        0.9948 ± 0         |       0.005658 ± 0        |        0.9943 ± 0         |
| Bin52  |          0 ± 0           |    0 ± 0    |        0.9948 ± 0         |       0.005658 ± 0        |        0.9943 ± 0         |
| Bin53  |          0 ± 0           |    0 ± 0    |        0.9948 ± 0         |       0.005658 ± 0        |        0.9943 ± 0         |
| Bin54  |          0 ± 0           |    0 ± 0    |        0.9948 ± 0         |       0.005658 ± 0        |        0.9943 ± 0         |
| Bin55  |          0 ± 0           |    0 ± 0    |        0.9948 ± 0         |       0.005658 ± 0        |        0.9943 ± 0         |
| Bin56  |          0 ± 0           |    0 ± 0    |        0.9948 ± 0         |       0.005658 ± 0        |        0.9943 ± 0         |
| Bin57  |          0 ± 0           |    0 ± 0    |        0.9948 ± 0         |       0.005658 ± 0        |        0.9943 ± 0         |
| Bin58  |          0 ± 0           |    0 ± 0    |        0.9948 ± 0         |       0.005658 ± 0        |        0.9943 ± 0         |
| Bin59  |          0 ± 0           |    0 ± 0    |        0.9948 ± 0         |       0.005658 ± 0        |        0.9943 ± 0         |
| Bin60  |          0 ± 0           |    0 ± 0    |        0.9948 ± 0         |       0.005658 ± 0        |        0.9943 ± 0         |
| Bin61  |          0 ± 0           |    0 ± 0    |        0.9948 ± 0         |       0.005658 ± 0        |        0.9943 ± 0         |
| Bin62  |          0 ± 0           |    0 ± 0    |        0.9948 ± 0         |       0.005658 ± 0        |        0.9943 ± 0         |
| Bin63  |          0 ± 0           |    0 ± 0    |        0.9948 ± 0         |       0.005658 ± 0        |        0.9943 ± 0         |
| Bin64  |          0 ± 0           |    0 ± 0    |        0.9948 ± 0         |       0.005658 ± 0        |        0.9943 ± 0         |
| Bin65  |          0 ± 0           |    0 ± 0    |        0.9948 ± 0         |       0.005658 ± 0        |        0.9943 ± 0         |
| Bin66  |          0 ± 0           |    0 ± 0    |        0.9974 ± 0         |       0.005658 ± 0        |        0.9971 ± 0         |
