+--------+---------------------------+-------------+-------------------------+---------------------------+-------------------------+
| Bin#   | #rightarrow 0.46 (-6.00)  |    Total    | #leftarrow 0.57 (3.60)  | #rightarrow 0.97 (-4.35)  | #leftarrow 0.95 (4.35)  |
| Bin47  |        0.6038 ± 0         | 0.6038 ± 0  |       0.9871 ± 0        |        0.5286 ± 0         |       0.4714 ± 0        |
| Bin48  |        0.6038 ± 0         | 0.6038 ± 0  |       0.9871 ± 0        |        0.5286 ± 0         |       0.4714 ± 0        |
| Bin49  |        0.6038 ± 0         | 0.6038 ± 0  |       0.9871 ± 0        |        0.5286 ± 0         |       0.4714 ± 0        |
| Bin50  |        0.6038 ± 0         | 0.6038 ± 0  |       0.9871 ± 0        |        0.5286 ± 0         |       0.4714 ± 0        |
| Bin51  |        0.6038 ± 0         | 0.6038 ± 0  |       0.9871 ± 0        |        0.5286 ± 0         |       0.4714 ± 0        |
| Bin52  |        0.6038 ± 0         | 0.6038 ± 0  |       0.9871 ± 0        |        0.5286 ± 0         |       0.4714 ± 0        |
| Bin53  |        0.6038 ± 0         | 0.6038 ± 0  |       0.9871 ± 0        |        0.5286 ± 0         |       0.4714 ± 0        |
| Bin54  |        0.6038 ± 0         | 0.6038 ± 0  |       0.9871 ± 0        |        0.5286 ± 0         |       0.4714 ± 0        |
| Bin55  |        0.6038 ± 0         | 0.6038 ± 0  |       0.9871 ± 0        |        0.5286 ± 0         |       0.4714 ± 0        |
| Bin56  |        0.6038 ± 0         | 0.6038 ± 0  |       0.9871 ± 0        |        0.5286 ± 0         |       0.4714 ± 0        |
| Bin57  |        0.6038 ± 0         | 0.6038 ± 0  |       0.9871 ± 0        |        0.5286 ± 0         |       0.4714 ± 0        |
| Bin58  |        0.6038 ± 0         | 0.6038 ± 0  |       0.9871 ± 0        |        0.5286 ± 0         |       0.4714 ± 0        |
| Bin59  |        0.6038 ± 0         | 0.6038 ± 0  |       0.9908 ± 0        |        0.5286 ± 0         |       0.4735 ± 0        |
| Bin60  |        0.6016 ± 0         | 0.6016 ± 0  |        1.002 ± 0        |        0.5265 ± 0         |       0.4798 ± 0        |
| Bin61  |        0.5948 ± 0         | 0.5948 ± 0  |        1.022 ± 0        |        0.5202 ± 0         |       0.4912 ± 0        |
| Bin62  |        0.5826 ± 0         | 0.5826 ± 0  |        1.077 ± 0        |        0.5088 ± 0         |       0.5227 ± 0        |
| Bin63  |        0.5487 ± 0         | 0.5487 ± 0  |        1.119 ± 0        |        0.4773 ± 0         |       0.5471 ± 0        |
| Bin64  |        0.5221 ± 0         | 0.5221 ± 0  |        1.23 ± 0         |        0.4529 ± 0         |       0.6129 ± 0        |
| Bin65  |         0.45 ± 0          |  0.45 ± 0   |        1.121 ± 0        |        0.3871 ± 0         |       0.6842 ± 0        |
| Bin66  |        0.4009 ± 0         | 0.4009 ± 0  |       0.8571 ± 0        |        0.3158 ± 0         |       0.7495 ± 0        |
| Bin67  |        0.5164 ± 0         | 0.5164 ± 0  |       0.8853 ± 0        |        0.2505 ± 0         |       0.8217 ± 0        |
| Bin68  |        0.4794 ± 0         | 0.4794 ± 0  |       0.9022 ± 0        |        0.1783 ± 0         |       0.8937 ± 0        |
| Bin69  |           0 ± 0           |    0 ± 0    |       0.9573 ± 0        |        0.1063 ± 0         |       0.9535 ± 0        |
| Bin70  |           0 ± 0           |    0 ± 0    |       0.9824 ± 0        |        0.04655 ± 0        |       0.9808 ± 0        |
| Bin71  |           0 ± 0           |    0 ± 0    |          1 ± 0          |        0.0192 ± 0         |          1 ± 0          |
| Bin72  |           0 ± 0           |    0 ± 0    |          1 ± 0          |           0 ± 0           |          1 ± 0          |
| Bin73  |           0 ± 0           |    0 ± 0    |          1 ± 0          |           0 ± 0           |          1 ± 0          |
| Bin74  |           0 ± 0           |    0 ± 0    |          1 ± 0          |           0 ± 0           |          1 ± 0          |
| Bin75  |           0 ± 0           |    0 ± 0    |          1 ± 0          |           0 ± 0           |          1 ± 0          |
| Bin76  |           0 ± 0           |    0 ± 0    |          1 ± 0          |           0 ± 0           |          1 ± 0          |
| Bin77  |           0 ± 0           |    0 ± 0    |          1 ± 0          |           0 ± 0           |          1 ± 0          |
| Bin78  |           0 ± 0           |    0 ± 0    |          1 ± 0          |           0 ± 0           |          1 ± 0          |
| Bin79  |           0 ± 0           |    0 ± 0    |          1 ± 0          |           0 ± 0           |          1 ± 0          |
| Bin80  |           0 ± 0           |    0 ± 0    |          1 ± 0          |           0 ± 0           |          1 ± 0          |
| Bin81  |           0 ± 0           |    0 ± 0    |          0 ± 0          |           0 ± 0           |          0 ± 0          |
+--------+---------------------------+-------------+-------------------------+---------------------------+-------------------------+
