+--------+--------------------------+-------------+----------------------------+---------------------------+----------------------------+
| Bin#   | #rightarrow 0.46 (0.00)  |    Total    | #leftarrow 0.46 (2000.00)  | #rightarrow 0.95 (50.00)  | #leftarrow 0.98 (1325.00)  |
| Bin47  |          0 ± 0           |    0 ± 0    |         0.9753 ± 0         |        0.03847 ± 0        |         0.9636 ± 0         |
| Bin48  |          0 ± 0           |    0 ± 0    |         0.9807 ± 0         |        0.03641 ± 0        |         0.9694 ± 0         |
| Bin49  |          0 ± 0           |    0 ± 0    |         0.9824 ± 0         |        0.03059 ± 0        |         0.9713 ± 0         |
| Bin50  |          0 ± 0           |    0 ± 0    |         0.9831 ± 0         |        0.02872 ± 0        |         0.972 ± 0          |
| Bin51  |          0 ± 0           |    0 ± 0    |         0.9831 ± 0         |        0.02798 ± 0        |         0.972 ± 0          |
| Bin52  |          0 ± 0           |    0 ± 0    |          0.99 ± 0          |        0.02798 ± 0        |         0.9795 ± 0         |
| Bin53  |          0 ± 0           |    0 ± 0    |          0.99 ± 0          |        0.02049 ± 0        |         0.9795 ± 0         |
| Bin54  |          0 ± 0           |    0 ± 0    |         0.9931 ± 0         |        0.02049 ± 0        |         0.9828 ± 0         |
| Bin55  |          0 ± 0           |    0 ± 0    |         0.9931 ± 0         |        0.01718 ± 0        |         0.9828 ± 0         |
| Bin56  |          0 ± 0           |    0 ± 0    |         0.9966 ± 0         |        0.01718 ± 0        |         0.9866 ± 0         |
| Bin57  |          0 ± 0           |    0 ± 0    |         0.9966 ± 0         |        0.01342 ± 0        |         0.9866 ± 0         |
| Bin58  |          0 ± 0           |    0 ± 0    |         0.9966 ± 0         |        0.01342 ± 0        |         0.9866 ± 0         |
| Bin59  |          0 ± 0           |    0 ± 0    |         0.9966 ± 0         |        0.01342 ± 0        |         0.9866 ± 0         |
| Bin60  |          0 ± 0           |    0 ± 0    |         0.9966 ± 0         |        0.01342 ± 0        |         0.9866 ± 0         |
| Bin61  |          0 ± 0           |    0 ± 0    |         0.9966 ± 0         |        0.01342 ± 0        |         0.9866 ± 0         |
| Bin62  |          0 ± 0           |    0 ± 0    |         0.9966 ± 0         |        0.01342 ± 0        |         0.9866 ± 0         |
| Bin63  |          0 ± 0           |    0 ± 0    |         0.9966 ± 0         |        0.01342 ± 0        |         0.9866 ± 0         |
| Bin64  |          0 ± 0           |    0 ± 0    |         0.9992 ± 0         |        0.01342 ± 0        |         0.9894 ± 0         |
| Bin65  |          0 ± 0           |    0 ± 0    |         0.9992 ± 0         |        0.01057 ± 0        |         0.9894 ± 0         |
| Bin66  |          0 ± 0           |    0 ± 0    |         0.9992 ± 0         |        0.01057 ± 0        |         0.9894 ± 0         |
| Bin67  |          0 ± 0           |    0 ± 0    |         0.9992 ± 0         |        0.01057 ± 0        |         0.9894 ± 0         |
| Bin68  |          0 ± 0           |    0 ± 0    |         0.9992 ± 0         |        0.01057 ± 0        |         0.9894 ± 0         |
| Bin69  |          0 ± 0           |    0 ± 0    |         0.9992 ± 0         |        0.01057 ± 0        |         0.9894 ± 0         |
| Bin70  |          0 ± 0           |    0 ± 0    |         0.9992 ± 0         |        0.01057 ± 0        |         0.9894 ± 0         |
| Bin71  |          0 ± 0           |    0 ± 0    |         0.9992 ± 0         |        0.01057 ± 0        |         0.9894 ± 0         |
| Bin72  |          0 ± 0           |    0 ± 0    |         0.9992 ± 0         |        0.01057 ± 0        |         0.9894 ± 0         |
| Bin73  |          0 ± 0           |    0 ± 0    |         0.9992 ± 0         |        0.01057 ± 0        |         0.9894 ± 0         |
| Bin74  |          0 ± 0           |    0 ± 0    |         0.9992 ± 0         |        0.01057 ± 0        |         0.9894 ± 0         |
| Bin75  |          0 ± 0           |    0 ± 0    |           1 ± 0            |        0.01057 ± 0        |         0.9903 ± 0         |
| Bin76  |          0 ± 0           |    0 ± 0    |           1 ± 0            |       0.009696 ± 0        |         0.9903 ± 0         |
| Bin77  |          0 ± 0           |    0 ± 0    |           1 ± 0            |       0.009696 ± 0        |         0.9903 ± 0         |
| Bin78  |          0 ± 0           |    0 ± 0    |           1 ± 0            |       0.009696 ± 0        |         0.9903 ± 0         |
| Bin79  |          0 ± 0           |    0 ± 0    |           1 ± 0            |       0.009696 ± 0        |         0.9903 ± 0         |
| Bin80  |          0 ± 0           |    0 ± 0    |           1 ± 0            |       0.009696 ± 0        |         0.9903 ± 0         |
| Bin81  |          0 ± 0           |    0 ± 0    |           0 ± 0            |           0 ± 0           |           0 ± 0            |
+--------+--------------------------+-------------+----------------------------+---------------------------+----------------------------+
