+--------+--------------------------+---------------+---------------------------+---------------------------+---------------------------+
| Bin#   | #rightarrow 0.46 (0.00)  |     Total     | #leftarrow 0.56 (134.38)  | #rightarrow 0.97 (71.88)  | #leftarrow 0.97 (140.62)  |
| Bin50  |       0.02509 ± 0        |  0.02509 ± 0  |         1.149 ± 0         |        0.01269 ± 0        |        0.9873 ± 0         |
| Bin51  |       0.02509 ± 0        |  0.02509 ± 0  |         1.149 ± 0         |        0.01269 ± 0        |        0.9876 ± 0         |
| Bin52  |       0.02457 ± 0        |  0.02457 ± 0  |         1.157 ± 0         |        0.01242 ± 0        |        0.9951 ± 0         |
| Bin53  |       0.009812 ± 0       | 0.009812 ± 0  |         1.159 ± 0         |       0.004946 ± 0        |        0.9973 ± 0         |
| Bin54  |       0.00533 ± 0        |  0.00533 ± 0  |         1.056 ± 0         |       0.002684 ± 0        |        0.9973 ± 0         |
| Bin55  |       0.008241 ± 0       | 0.008241 ± 0  |         1.056 ± 0         |       0.002684 ± 0        |        0.9973 ± 0         |
| Bin56  |       0.008241 ± 0       | 0.008241 ± 0  |         1.056 ± 0         |       0.002684 ± 0        |        0.9973 ± 0         |
| Bin57  |       0.008241 ± 0       | 0.008241 ± 0  |         1.056 ± 0         |       0.002684 ± 0        |        0.9973 ± 0         |
| Bin58  |       0.008241 ± 0       | 0.008241 ± 0  |         1.056 ± 0         |       0.002684 ± 0        |        0.9973 ± 0         |
| Bin59  |       0.008241 ± 0       | 0.008241 ± 0  |         1.056 ± 0         |       0.002684 ± 0        |        0.9973 ± 0         |
| Bin60  |       0.008241 ± 0       | 0.008241 ± 0  |         1.056 ± 0         |       0.002684 ± 0        |        0.9973 ± 0         |
| Bin61  |       0.008241 ± 0       | 0.008241 ± 0  |         1.056 ± 0         |       0.002684 ± 0        |        0.9973 ± 0         |
| Bin62  |       0.008241 ± 0       | 0.008241 ± 0  |         1.056 ± 0         |       0.002684 ± 0        |        0.9973 ± 0         |
| Bin63  |       0.008241 ± 0       | 0.008241 ± 0  |         1.056 ± 0         |       0.002684 ± 0        |        0.9973 ± 0         |
| Bin64  |       0.008241 ± 0       | 0.008241 ± 0  |         1.056 ± 0         |       0.002684 ± 0        |        0.9973 ± 0         |
| Bin65  |       0.008241 ± 0       | 0.008241 ± 0  |         1.056 ± 0         |       0.002684 ± 0        |        0.9973 ± 0         |
| Bin66  |       0.008241 ± 0       | 0.008241 ± 0  |        0.9975 ± 0         |       0.002684 ± 0        |        0.9973 ± 0         |
| Bin67  |          0 ± 0           |     0 ± 0     |        0.9975 ± 0         |       0.002684 ± 0        |        0.9973 ± 0         |
| Bin68  |          0 ± 0           |     0 ± 0     |        0.9975 ± 0         |       0.002684 ± 0        |        0.9973 ± 0         |
| Bin69  |          0 ± 0           |     0 ± 0     |        0.9975 ± 0         |       0.002684 ± 0        |        0.9973 ± 0         |
| Bin70  |          0 ± 0           |     0 ± 0     |        0.9975 ± 0         |       0.002684 ± 0        |        0.9973 ± 0         |
| Bin71  |          0 ± 0           |     0 ± 0     |        0.9975 ± 0         |       0.002684 ± 0        |        0.9973 ± 0         |
| Bin72  |          0 ± 0           |     0 ± 0     |        0.9975 ± 0         |       0.002684 ± 0        |        0.9973 ± 0         |
| Bin73  |          0 ± 0           |     0 ± 0     |        0.9975 ± 0         |       0.002684 ± 0        |        0.9973 ± 0         |
| Bin74  |          0 ± 0           |     0 ± 0     |        0.9975 ± 0         |       0.002684 ± 0        |        0.9973 ± 0         |
| Bin75  |          0 ± 0           |     0 ± 0     |        0.9975 ± 0         |       0.002684 ± 0        |        0.9973 ± 0         |
| Bin76  |          0 ± 0           |     0 ± 0     |        0.9975 ± 0         |       0.002684 ± 0        |        0.9973 ± 0         |
| Bin77  |          0 ± 0           |     0 ± 0     |           1 ± 0           |       0.002684 ± 0        |           1 ± 0           |
| Bin78  |          0 ± 0           |     0 ± 0     |           1 ± 0           |           0 ± 0           |           1 ± 0           |
| Bin79  |          0 ± 0           |     0 ± 0     |           1 ± 0           |           0 ± 0           |           1 ± 0           |
| Bin80  |          0 ± 0           |     0 ± 0     |           1 ± 0           |           0 ± 0           |           1 ± 0           |
| Bin81  |          0 ± 0           |     0 ± 0     |           0 ± 0           |           0 ± 0           |           0 ± 0           |
+--------+--------------------------+---------------+---------------------------+---------------------------+---------------------------+
