+--------+--------------------------+-------------+----------------------------+----------------------------+----------------------------+
| Bin#   | #rightarrow 0.46 (0.00)  |    Total    | #leftarrow 0.49 (1725.00)  | #rightarrow 0.98 (562.50)  | #leftarrow 0.98 (2250.00)  |
| Bin48  |          0 ± 0           |    0 ± 0    |         0.9046 ± 0         |         0.1175 ± 0         |         0.8964 ± 0         |
| Bin49  |          0 ± 0           |    0 ± 0    |         0.9163 ± 0         |         0.1036 ± 0         |         0.909 ± 0          |
| Bin50  |          0 ± 0           |    0 ± 0    |         0.9285 ± 0         |         0.091 ± 0          |         0.9222 ± 0         |
| Bin51  |          0 ± 0           |    0 ± 0    |         0.9392 ± 0         |        0.07781 ± 0         |         0.9337 ± 0         |
| Bin52  |          0 ± 0           |    0 ± 0    |         0.9513 ± 0         |        0.06627 ± 0         |         0.9469 ± 0         |
| Bin53  |          0 ± 0           |    0 ± 0    |         0.9533 ± 0         |         0.0531 ± 0         |         0.9491 ± 0         |
| Bin54  |          0 ± 0           |    0 ± 0    |         0.9637 ± 0         |        0.05093 ± 0         |         0.9604 ± 0         |
| Bin55  |          0 ± 0           |    0 ± 0    |         0.9637 ± 0         |        0.03959 ± 0         |         0.9604 ± 0         |
| Bin56  |          0 ± 0           |    0 ± 0    |         0.9666 ± 0         |        0.03959 ± 0         |         0.9635 ± 0         |
| Bin57  |          0 ± 0           |    0 ± 0    |         0.9724 ± 0         |        0.03647 ± 0         |         0.9698 ± 0         |
| Bin58  |          0 ± 0           |    0 ± 0    |         0.9769 ± 0         |        0.03015 ± 0         |         0.9747 ± 0         |
| Bin59  |          0 ± 0           |    0 ± 0    |         0.9794 ± 0         |        0.02528 ± 0         |         0.9775 ± 0         |
| Bin60  |          0 ± 0           |    0 ± 0    |         0.9794 ± 0         |        0.02248 ± 0         |         0.9775 ± 0         |
| Bin61  |          0 ± 0           |    0 ± 0    |         0.9881 ± 0         |        0.02248 ± 0         |         0.987 ± 0          |
| Bin62  |          0 ± 0           |    0 ± 0    |         0.9885 ± 0         |        0.01298 ± 0         |         0.9875 ± 0         |
| Bin63  |          0 ± 0           |    0 ± 0    |         0.9885 ± 0         |        0.01254 ± 0         |         0.9875 ± 0         |
| Bin64  |          0 ± 0           |    0 ± 0    |         0.9925 ± 0         |        0.01254 ± 0         |         0.9918 ± 0         |
| Bin65  |          0 ± 0           |    0 ± 0    |         0.9954 ± 0         |        0.008195 ± 0        |         0.9949 ± 0         |
| Bin66  |          0 ± 0           |    0 ± 0    |           1 ± 0            |        0.005085 ± 0        |           1 ± 0            |
| Bin67  |          0 ± 0           |    0 ± 0    |           1 ± 0            |           0 ± 0            |           1 ± 0            |
| Bin68  |          0 ± 0           |    0 ± 0    |           1 ± 0            |           0 ± 0            |           1 ± 0            |
| Bin69  |          0 ± 0           |    0 ± 0    |           1 ± 0            |           0 ± 0            |           1 ± 0            |
| Bin70  |          0 ± 0           |    0 ± 0    |           1 ± 0            |           0 ± 0            |           1 ± 0            |
| Bin71  |          0 ± 0           |    0 ± 0    |           1 ± 0            |           0 ± 0            |           1 ± 0            |
