+--------+--------------------------+-------------+-------------------------+--------------------------+-------------------------+
| Bin#   | #rightarrow 0.63 (0.80)  |    Total    | #leftarrow 0.46 (1.00)  | #rightarrow 0.98 (0.68)  | #leftarrow 0.58 (0.98)  |
| Bin53  |        1.247 ± 0         |  1.247 ± 0  |       0.2795 ± 0        |        0.8241 ± 0        |        0.209 ± 0        |
| Bin54  |        1.204 ± 0         |  1.204 ± 0  |       0.2958 ± 0        |        0.791 ± 0         |       0.2217 ± 0        |
| Bin55  |        1.187 ± 0         |  1.187 ± 0  |       0.3506 ± 0        |        0.7783 ± 0        |       0.2647 ± 0        |
| Bin56  |         1.13 ± 0         |  1.13 ± 0   |        0.39 ± 0         |        0.7353 ± 0        |       0.2959 ± 0        |
| Bin57  |        1.088 ± 0         |  1.088 ± 0  |       0.4639 ± 0        |        0.7041 ± 0        |       0.3554 ± 0        |
| Bin58  |        1.008 ± 0         |  1.008 ± 0  |       0.5147 ± 0        |        0.6446 ± 0        |        0.433 ± 0        |
| Bin59  |         1.06 ± 0         |  1.06 ± 0   |       0.6379 ± 0        |        0.567 ± 0         |       0.5767 ± 0        |
| Bin60  |         1.01 ± 0         |  1.01 ± 0   |          1 ± 0          |        0.4233 ± 0        |          1 ± 0          |
| Bin61  |          0 ± 0           |    0 ± 0    |          0 ± 0          |          0 ± 0           |          0 ± 0          |
+--------+--------------------------+-------------+-------------------------+--------------------------+-------------------------+
