+--------+---------------------------+--------------+---------------------------+---------------------------+---------------------------+
| Bin#   | #rightarrow 0.48 (59.38)  |    Total     | #leftarrow 0.74 (118.75)  | #rightarrow 0.96 (62.50)  | #leftarrow 0.98 (146.88)  |
| Bin48  |        0.06144 ± 0        | 0.06144 ± 0  |         1.048 ± 0         |        0.02035 ± 0        |        0.9866 ± 0         |
| Bin49  |        0.04073 ± 0        | 0.04073 ± 0  |         1.051 ± 0         |        0.0134 ± 0         |        0.9897 ± 0         |
| Bin50  |        0.0315 ± 0         |  0.0315 ± 0  |         1.054 ± 0         |        0.01034 ± 0        |        0.9924 ± 0         |
| Bin51  |        0.02326 ± 0        | 0.02326 ± 0  |         1.057 ± 0         |       0.007614 ± 0        |        0.9953 ± 0         |
| Bin52  |        0.01429 ± 0        | 0.01429 ± 0  |         1.057 ± 0         |       0.004664 ± 0        |        0.9953 ± 0         |
| Bin53  |        0.01429 ± 0        | 0.01429 ± 0  |         1.057 ± 0         |       0.004664 ± 0        |        0.9953 ± 0         |
| Bin54  |        0.01429 ± 0        | 0.01429 ± 0  |         1.057 ± 0         |       0.004664 ± 0        |        0.9953 ± 0         |
| Bin55  |        0.01429 ± 0        | 0.01429 ± 0  |         1.057 ± 0         |       0.004664 ± 0        |        0.9953 ± 0         |
| Bin56  |        0.01429 ± 0        | 0.01429 ± 0  |         1.057 ± 0         |       0.004664 ± 0        |        0.9953 ± 0         |
| Bin57  |        0.01429 ± 0        | 0.01429 ± 0  |         1.057 ± 0         |       0.004664 ± 0        |        0.9953 ± 0         |
| Bin58  |        0.01429 ± 0        | 0.01429 ± 0  |         1.057 ± 0         |       0.004664 ± 0        |        0.9953 ± 0         |
| Bin59  |        0.01429 ± 0        | 0.01429 ± 0  |         1.057 ± 0         |       0.004664 ± 0        |        0.9953 ± 0         |
| Bin60  |        0.01429 ± 0        | 0.01429 ± 0  |         1.057 ± 0         |       0.004664 ± 0        |        0.9953 ± 0         |
| Bin61  |        0.01429 ± 0        | 0.01429 ± 0  |         1.057 ± 0         |       0.004664 ± 0        |        0.9953 ± 0         |
