+--------+---------------------------+--------------+-------------------------+---------------------------+-------------------------+
| Bin#   | #rightarrow 0.46 (-6.00)  |    Total     | #leftarrow 0.62 (0.15)  | #rightarrow 0.97 (-3.00)  | #leftarrow 0.98 (3.00)  |
| Bin50  |        0.3608 ± 0         |  0.3608 ± 0  |        1.045 ± 0        |        0.2293 ± 0         |        0.81 ± 0         |
| Bin51  |        0.3018 ± 0         |  0.3018 ± 0  |        1.068 ± 0        |         0.19 ± 0          |       0.8297 ± 0        |
| Bin52  |        0.2718 ± 0         |  0.2718 ± 0  |        1.011 ± 0        |        0.1703 ± 0         |       0.8559 ± 0        |
| Bin53  |        0.2715 ± 0         |  0.2715 ± 0  |        1.035 ± 0        |        0.1441 ± 0         |       0.8781 ± 0        |
| Bin54  |        0.2314 ± 0         |  0.2314 ± 0  |        1.053 ± 0        |        0.1219 ± 0         |       0.8955 ± 0        |
| Bin55  |        0.1996 ± 0         |  0.1996 ± 0  |        1.065 ± 0        |        0.1045 ± 0         |       0.9073 ± 0        |
| Bin56  |        0.1778 ± 0         |  0.1778 ± 0  |        1.008 ± 0        |        0.0927 ± 0         |       0.9212 ± 0        |
| Bin57  |         0.195 ± 0         |  0.195 ± 0   |        1.033 ± 0        |        0.07877 ± 0        |       0.9474 ± 0        |
| Bin58  |        0.1324 ± 0         |  0.1324 ± 0  |        1.043 ± 0        |        0.05264 ± 0        |       0.9572 ± 0        |
| Bin59  |        0.1083 ± 0         |  0.1083 ± 0  |        1.046 ± 0        |        0.0428 ± 0         |       0.9602 ± 0        |
| Bin60  |        0.1009 ± 0         |  0.1009 ± 0  |        1.063 ± 0        |        0.03981 ± 0        |       0.9778 ± 0        |
| Bin61  |        0.05702 ± 0        | 0.05702 ± 0  |          1 ± 0          |        0.02224 ± 0        |          1 ± 0          |
| Bin62  |           0 ± 0           |    0 ± 0     |          1 ± 0          |           0 ± 0           |          1 ± 0          |
| Bin63  |           0 ± 0           |    0 ± 0     |          1 ± 0          |           0 ± 0           |          1 ± 0          |
| Bin64  |           0 ± 0           |    0 ± 0     |          1 ± 0          |           0 ± 0           |          1 ± 0          |
| Bin65  |           0 ± 0           |    0 ± 0     |          1 ± 0          |           0 ± 0           |          1 ± 0          |
| Bin66  |           0 ± 0           |    0 ± 0     |          1 ± 0          |           0 ± 0           |          1 ± 0          |
| Bin67  |           0 ± 0           |    0 ± 0     |          1 ± 0          |           0 ± 0           |          1 ± 0          |
| Bin68  |           0 ± 0           |    0 ± 0     |          1 ± 0          |           0 ± 0           |          1 ± 0          |
| Bin69  |           0 ± 0           |    0 ± 0     |          1 ± 0          |           0 ± 0           |          1 ± 0          |
| Bin70  |           0 ± 0           |    0 ± 0     |          1 ± 0          |           0 ± 0           |          1 ± 0          |
| Bin71  |           0 ± 0           |    0 ± 0     |          1 ± 0          |           0 ± 0           |          1 ± 0          |
| Bin72  |           0 ± 0           |    0 ± 0     |          1 ± 0          |           0 ± 0           |          1 ± 0          |
| Bin73  |           0 ± 0           |    0 ± 0     |          1 ± 0          |           0 ± 0           |          1 ± 0          |
| Bin74  |           0 ± 0           |    0 ± 0     |          1 ± 0          |           0 ± 0           |          1 ± 0          |
| Bin75  |           0 ± 0           |    0 ± 0     |          1 ± 0          |           0 ± 0           |          1 ± 0          |
| Bin76  |           0 ± 0           |    0 ± 0     |          1 ± 0          |           0 ± 0           |          1 ± 0          |
| Bin77  |           0 ± 0           |    0 ± 0     |          1 ± 0          |           0 ± 0           |          1 ± 0          |
| Bin78  |           0 ± 0           |    0 ± 0     |          1 ± 0          |           0 ± 0           |          1 ± 0          |
| Bin79  |           0 ± 0           |    0 ± 0     |          1 ± 0          |           0 ± 0           |          1 ± 0          |
| Bin80  |           0 ± 0           |    0 ± 0     |          1 ± 0          |           0 ± 0           |          1 ± 0          |
| Bin81  |           0 ± 0           |    0 ± 0     |          0 ± 0          |           0 ± 0           |          0 ± 0          |
+--------+---------------------------+--------------+-------------------------+---------------------------+-------------------------+
