+--------+---------------------------+-------------+-------------------------+---------------------------+-------------------------+
| Bin#   | #rightarrow 0.49 (-3.30)  |    Total    | #leftarrow 0.46 (6.00)  | #rightarrow 0.95 (-4.50)  | #leftarrow 0.95 (4.50)  |
| Bin47  |        0.9871 ± 0         | 0.9871 ± 0  |       0.6038 ± 0        |        0.4714 ± 0         |       0.5286 ± 0        |
| Bin48  |        0.9871 ± 0         | 0.9871 ± 0  |       0.6038 ± 0        |        0.4714 ± 0         |       0.5286 ± 0        |
| Bin49  |        0.9871 ± 0         | 0.9871 ± 0  |       0.6038 ± 0        |        0.4714 ± 0         |       0.5286 ± 0        |
| Bin50  |        0.9871 ± 0         | 0.9871 ± 0  |       0.6038 ± 0        |        0.4714 ± 0         |       0.5286 ± 0        |
| Bin51  |        0.9871 ± 0         | 0.9871 ± 0  |       0.6038 ± 0        |        0.4714 ± 0         |       0.5286 ± 0        |
| Bin52  |        0.9871 ± 0         | 0.9871 ± 0  |       0.6038 ± 0        |        0.4714 ± 0         |       0.5286 ± 0        |
| Bin53  |        0.9871 ± 0         | 0.9871 ± 0  |       0.6038 ± 0        |        0.4714 ± 0         |       0.5286 ± 0        |
| Bin54  |        0.9871 ± 0         | 0.9871 ± 0  |       0.6038 ± 0        |        0.4714 ± 0         |       0.5286 ± 0        |
| Bin55  |        0.9871 ± 0         | 0.9871 ± 0  |       0.6038 ± 0        |        0.4714 ± 0         |       0.5286 ± 0        |
| Bin56  |        0.9871 ± 0         | 0.9871 ± 0  |       0.6038 ± 0        |        0.4714 ± 0         |       0.5286 ± 0        |
| Bin57  |        0.9871 ± 0         | 0.9871 ± 0  |       0.6038 ± 0        |        0.4714 ± 0         |       0.5286 ± 0        |
| Bin58  |        0.9871 ± 0         | 0.9871 ± 0  |       0.6038 ± 0        |        0.4714 ± 0         |       0.5286 ± 0        |
| Bin59  |        0.9871 ± 0         | 0.9871 ± 0  |       0.6038 ± 0        |        0.4714 ± 0         |       0.5286 ± 0        |
| Bin60  |        0.9871 ± 0         | 0.9871 ± 0  |        0.609 ± 0        |        0.4714 ± 0         |       0.5334 ± 0        |
| Bin61  |        0.9785 ± 0         | 0.9785 ± 0  |       0.6224 ± 0        |        0.4666 ± 0         |        0.546 ± 0        |
| Bin62  |        0.9561 ± 0         | 0.9561 ± 0  |       0.6367 ± 0        |         0.454 ± 0         |       0.5594 ± 0        |
| Bin63  |         0.932 ± 0         |  0.932 ± 0  |       0.6039 ± 0        |        0.4406 ± 0         |       0.5808 ± 0        |
| Bin64  |           0 ± 0           |    0 ± 0    |       0.6211 ± 0        |        0.4192 ± 0         |       0.5983 ± 0        |
