+--------+----------------------------+-------------+--------------------------+---------------------------+-------------------------+
| Bin#   | #rightarrow 0.46 (-10.00)  |    Total    | #leftarrow 0.46 (10.00)  | #rightarrow 0.95 (-8.50)  | #leftarrow 0.94 (8.50)  |
| Bin46  |         0.6038 ± 0         | 0.6038 ± 0  |        0.9871 ± 0        |        0.5286 ± 0         |       0.4714 ± 0        |
| Bin47  |         0.6038 ± 0         | 0.6038 ± 0  |        0.9871 ± 0        |        0.5286 ± 0         |       0.4714 ± 0        |
| Bin48  |         0.6038 ± 0         | 0.6038 ± 0  |        0.9871 ± 0        |        0.5286 ± 0         |       0.4714 ± 0        |
| Bin49  |         0.6038 ± 0         | 0.6038 ± 0  |        0.9871 ± 0        |        0.5286 ± 0         |       0.4714 ± 0        |
| Bin50  |         0.6038 ± 0         | 0.6038 ± 0  |        0.9871 ± 0        |        0.5286 ± 0         |       0.4714 ± 0        |
| Bin51  |         0.6038 ± 0         | 0.6038 ± 0  |        0.9871 ± 0        |        0.5286 ± 0         |       0.4714 ± 0        |
| Bin52  |         0.6038 ± 0         | 0.6038 ± 0  |        0.9871 ± 0        |        0.5286 ± 0         |       0.4714 ± 0        |
| Bin53  |         0.6038 ± 0         | 0.6038 ± 0  |        0.9871 ± 0        |        0.5286 ± 0         |       0.4714 ± 0        |
| Bin54  |         0.6038 ± 0         | 0.6038 ± 0  |        0.9871 ± 0        |        0.5286 ± 0         |       0.4714 ± 0        |
| Bin55  |         0.6038 ± 0         | 0.6038 ± 0  |        0.9871 ± 0        |        0.5286 ± 0         |       0.4714 ± 0        |
| Bin56  |         0.6038 ± 0         | 0.6038 ± 0  |        0.9871 ± 0        |        0.5286 ± 0         |       0.4714 ± 0        |
| Bin57  |         0.6038 ± 0         | 0.6038 ± 0  |        0.9871 ± 0        |        0.5286 ± 0         |       0.4714 ± 0        |
| Bin58  |         0.6038 ± 0         | 0.6038 ± 0  |        0.9871 ± 0        |        0.5286 ± 0         |       0.4714 ± 0        |
| Bin59  |         0.6038 ± 0         | 0.6038 ± 0  |        0.9871 ± 0        |        0.5286 ± 0         |       0.4714 ± 0        |
| Bin60  |         0.6038 ± 0         | 0.6038 ± 0  |        0.9871 ± 0        |        0.5286 ± 0         |       0.4714 ± 0        |
| Bin61  |         0.6038 ± 0         | 0.6038 ± 0  |        0.9871 ± 0        |        0.5286 ± 0         |       0.4714 ± 0        |
| Bin62  |         0.6038 ± 0         | 0.6038 ± 0  |        0.9871 ± 0        |        0.5286 ± 0         |       0.4714 ± 0        |
