+--------+----------------------------+-------------+----------------------------+---------------------------+----------------------------+
| Bin#   | #rightarrow 0.48 (225.00)  |    Total    | #leftarrow 0.46 (2000.00)  | #rightarrow 0.97 (50.00)  | #leftarrow 0.98 (1350.00)  |
| Bin47  |           0 ± 0            |    0 ± 0    |         0.9693 ± 0         |        0.04496 ± 0        |         0.9571 ± 0         |
| Bin48  |           0 ± 0            |    0 ± 0    |         0.9753 ± 0         |        0.0429 ± 0         |         0.9636 ± 0         |
| Bin49  |           0 ± 0            |    0 ± 0    |         0.9807 ± 0         |        0.03641 ± 0        |         0.9694 ± 0         |
| Bin50  |           0 ± 0            |    0 ± 0    |         0.9807 ± 0         |        0.03059 ± 0        |         0.9694 ± 0         |
| Bin51  |           0 ± 0            |    0 ± 0    |         0.9831 ± 0         |        0.03059 ± 0        |         0.972 ± 0          |
| Bin52  |           0 ± 0            |    0 ± 0    |          0.99 ± 0          |        0.02798 ± 0        |         0.9795 ± 0         |
| Bin53  |           0 ± 0            |    0 ± 0    |          0.99 ± 0          |        0.02049 ± 0        |         0.9795 ± 0         |
| Bin54  |           0 ± 0            |    0 ± 0    |          0.99 ± 0          |        0.02049 ± 0        |         0.9795 ± 0         |
| Bin55  |           0 ± 0            |    0 ± 0    |         0.9931 ± 0         |        0.02049 ± 0        |         0.9828 ± 0         |
| Bin56  |           0 ± 0            |    0 ± 0    |         0.9956 ± 0         |        0.01718 ± 0        |         0.9855 ± 0         |
| Bin57  |           0 ± 0            |    0 ± 0    |         0.9966 ± 0         |        0.01448 ± 0        |         0.9866 ± 0         |
| Bin58  |           0 ± 0            |    0 ± 0    |         0.9966 ± 0         |        0.01342 ± 0        |         0.9866 ± 0         |
| Bin59  |           0 ± 0            |    0 ± 0    |         0.9966 ± 0         |        0.01342 ± 0        |         0.9866 ± 0         |
| Bin60  |           0 ± 0            |    0 ± 0    |         0.9966 ± 0         |        0.01342 ± 0        |         0.9866 ± 0         |
| Bin61  |           0 ± 0            |    0 ± 0    |         0.9966 ± 0         |        0.01342 ± 0        |         0.9866 ± 0         |
| Bin62  |           0 ± 0            |    0 ± 0    |         0.9966 ± 0         |        0.01342 ± 0        |         0.9866 ± 0         |
| Bin63  |           0 ± 0            |    0 ± 0    |         0.9966 ± 0         |        0.01342 ± 0        |         0.9866 ± 0         |
| Bin64  |           0 ± 0            |    0 ± 0    |         0.9966 ± 0         |        0.01342 ± 0        |         0.9866 ± 0         |
| Bin65  |           0 ± 0            |    0 ± 0    |         0.9992 ± 0         |        0.01342 ± 0        |         0.9894 ± 0         |
| Bin66  |           0 ± 0            |    0 ± 0    |         0.9992 ± 0         |        0.01057 ± 0        |         0.9894 ± 0         |
| Bin67  |           0 ± 0            |    0 ± 0    |         0.9992 ± 0         |        0.01057 ± 0        |         0.9894 ± 0         |
| Bin68  |           0 ± 0            |    0 ± 0    |         0.9992 ± 0         |        0.01057 ± 0        |         0.9894 ± 0         |
| Bin69  |           0 ± 0            |    0 ± 0    |         0.9992 ± 0         |        0.01057 ± 0        |         0.9894 ± 0         |
| Bin70  |           0 ± 0            |    0 ± 0    |         0.9992 ± 0         |        0.01057 ± 0        |         0.9894 ± 0         |
| Bin71  |           0 ± 0            |    0 ± 0    |         0.9992 ± 0         |        0.01057 ± 0        |         0.9894 ± 0         |
| Bin72  |           0 ± 0            |    0 ± 0    |         0.9992 ± 0         |        0.01057 ± 0        |         0.9894 ± 0         |
