+--------+--------------------------+-------------+----------------------------+-----------------------------+----------------------------+
| Bin#   | #rightarrow 0.46 (0.00)  |    Total    | #leftarrow 0.46 (6000.00)  | #rightarrow 0.98 (2175.00)  | #leftarrow 0.98 (4650.00)  |
| Bin50  |          0 ± 0           |    0 ± 0    |         0.8369 ± 0         |         0.2021 ± 0          |         0.8238 ± 0         |
| Bin51  |          0 ± 0           |    0 ± 0    |         0.8658 ± 0         |         0.1762 ± 0          |         0.8546 ± 0         |
| Bin52  |          0 ± 0           |    0 ± 0    |         0.8859 ± 0         |         0.1454 ± 0          |         0.8762 ± 0         |
| Bin53  |          0 ± 0           |    0 ± 0    |         0.9041 ± 0         |         0.1238 ± 0          |         0.8958 ± 0         |
| Bin54  |          0 ± 0           |    0 ± 0    |         0.9119 ± 0         |         0.1042 ± 0          |         0.9042 ± 0         |
| Bin55  |          0 ± 0           |    0 ± 0    |         0.9326 ± 0         |         0.09582 ± 0         |         0.9266 ± 0         |
| Bin56  |          0 ± 0           |    0 ± 0    |         0.9444 ± 0         |         0.0734 ± 0          |         0.9394 ± 0         |
| Bin57  |          0 ± 0           |    0 ± 0    |         0.955 ± 0          |         0.0606 ± 0          |         0.9509 ± 0         |
| Bin58  |          0 ± 0           |    0 ± 0    |         0.9583 ± 0         |         0.04909 ± 0         |         0.9545 ± 0         |
| Bin59  |          0 ± 0           |    0 ± 0    |         0.969 ± 0          |         0.04549 ± 0         |         0.9661 ± 0         |
| Bin60  |          0 ± 0           |    0 ± 0    |         0.9727 ± 0         |         0.03385 ± 0         |         0.9702 ± 0         |
| Bin61  |          0 ± 0           |    0 ± 0    |         0.9764 ± 0         |         0.02982 ± 0         |         0.9742 ± 0         |
| Bin62  |          0 ± 0           |    0 ± 0    |         0.9776 ± 0         |         0.0258 ± 0          |         0.9755 ± 0         |
| Bin63  |          0 ± 0           |    0 ± 0    |         0.9877 ± 0         |         0.02451 ± 0         |         0.9865 ± 0         |
| Bin64  |          0 ± 0           |    0 ± 0    |         0.9923 ± 0         |         0.01351 ± 0         |         0.9916 ± 0         |
| Bin65  |          0 ± 0           |    0 ± 0    |         0.9927 ± 0         |        0.008422 ± 0         |         0.992 ± 0          |
| Bin66  |          0 ± 0           |    0 ± 0    |         0.9967 ± 0         |        0.008009 ± 0         |         0.9963 ± 0         |
| Bin67  |          0 ± 0           |    0 ± 0    |           1 ± 0            |        0.003668 ± 0         |           1 ± 0            |
| Bin68  |          0 ± 0           |    0 ± 0    |           1 ± 0            |            0 ± 0            |           1 ± 0            |
| Bin69  |          0 ± 0           |    0 ± 0    |           1 ± 0            |            0 ± 0            |           1 ± 0            |
| Bin70  |          0 ± 0           |    0 ± 0    |           1 ± 0            |            0 ± 0            |           1 ± 0            |
| Bin71  |          0 ± 0           |    0 ± 0    |           1 ± 0            |            0 ± 0            |           1 ± 0            |
| Bin72  |          0 ± 0           |    0 ± 0    |           1 ± 0            |            0 ± 0            |           1 ± 0            |
| Bin73  |          0 ± 0           |    0 ± 0    |           1 ± 0            |            0 ± 0            |           1 ± 0            |
| Bin74  |          0 ± 0           |    0 ± 0    |           1 ± 0            |            0 ± 0            |           1 ± 0            |
| Bin75  |          0 ± 0           |    0 ± 0    |           1 ± 0            |            0 ± 0            |           1 ± 0            |
| Bin76  |          0 ± 0           |    0 ± 0    |           1 ± 0            |            0 ± 0            |           1 ± 0            |
| Bin77  |          0 ± 0           |    0 ± 0    |           1 ± 0            |            0 ± 0            |           1 ± 0            |
| Bin78  |          0 ± 0           |    0 ± 0    |           1 ± 0            |            0 ± 0            |           1 ± 0            |
| Bin79  |          0 ± 0           |    0 ± 0    |           1 ± 0            |            0 ± 0            |           1 ± 0            |
| Bin80  |          0 ± 0           |    0 ± 0    |           1 ± 0            |            0 ± 0            |           1 ± 0            |
| Bin81  |          0 ± 0           |    0 ± 0    |           0 ± 0            |            0 ± 0            |           0 ± 0            |
+--------+--------------------------+-------------+----------------------------+-----------------------------+----------------------------+
