+--------+---------------------------+-------------+-------------------------+---------------------------+-------------------------+
| Bin#   | #rightarrow 0.46 (-6.00)  |    Total    | #leftarrow 0.46 (6.00)  | #rightarrow 0.98 (-2.85)  | #leftarrow 0.97 (2.85)  |
| Bin50  |        0.5447 ± 0         | 0.5447 ± 0  |       0.8993 ± 0        |        0.3559 ± 0         |       0.6846 ± 0        |
| Bin51  |        0.4869 ± 0         | 0.4869 ± 0  |       0.9124 ± 0        |        0.3154 ± 0         |       0.6957 ± 0        |
| Bin52  |        0.4709 ± 0         | 0.4709 ± 0  |       0.8395 ± 0        |        0.3043 ± 0         |       0.7204 ± 0        |
| Bin53  |        0.5446 ± 0         | 0.5446 ± 0  |       0.7967 ± 0        |        0.2796 ± 0         |       0.7327 ± 0        |
| Bin54  |        0.6843 ± 0         | 0.6843 ± 0  |       0.7911 ± 0        |        0.2673 ± 0         |       0.7752 ± 0        |
| Bin55  |           0 ± 0           |    0 ± 0    |       0.8228 ± 0        |        0.2248 ± 0         |       0.8088 ± 0        |
| Bin56  |           0 ± 0           |    0 ± 0    |       0.8569 ± 0        |        0.1912 ± 0         |       0.8451 ± 0        |
| Bin57  |           0 ± 0           |    0 ± 0    |       0.8907 ± 0        |        0.1549 ± 0         |       0.8813 ± 0        |
| Bin58  |           0 ± 0           |    0 ± 0    |       0.9454 ± 0        |        0.1187 ± 0         |       0.9405 ± 0        |
| Bin59  |           0 ± 0           |    0 ± 0    |       0.9699 ± 0        |        0.05949 ± 0        |       0.9671 ± 0        |
| Bin60  |           0 ± 0           |    0 ± 0    |       0.9888 ± 0        |        0.03292 ± 0        |       0.9878 ± 0        |
| Bin61  |           0 ± 0           |    0 ± 0    |          1 ± 0          |        0.01224 ± 0        |          1 ± 0          |
| Bin62  |           0 ± 0           |    0 ± 0    |          1 ± 0          |           0 ± 0           |          1 ± 0          |
| Bin63  |           0 ± 0           |    0 ± 0    |          1 ± 0          |           0 ± 0           |          1 ± 0          |
| Bin64  |           0 ± 0           |    0 ± 0    |          1 ± 0          |           0 ± 0           |          1 ± 0          |
| Bin65  |           0 ± 0           |    0 ± 0    |          1 ± 0          |           0 ± 0           |          1 ± 0          |
| Bin66  |           0 ± 0           |    0 ± 0    |          1 ± 0          |           0 ± 0           |          1 ± 0          |
| Bin67  |           0 ± 0           |    0 ± 0    |          1 ± 0          |           0 ± 0           |          1 ± 0          |
| Bin68  |           0 ± 0           |    0 ± 0    |          1 ± 0          |           0 ± 0           |          1 ± 0          |
| Bin69  |           0 ± 0           |    0 ± 0    |          1 ± 0          |           0 ± 0           |          1 ± 0          |
