+--------+---------------------------+--------------+---------------------------+---------------------------+---------------------------+
| Bin#   | #rightarrow 0.46 (71.88)  |    Total     | #leftarrow 0.56 (118.75)  | #rightarrow 0.97 (53.12)  | #leftarrow 0.98 (128.12)  |
| Bin49  |           0 ± 0           |    0 ± 0     |        0.9974 ± 0         |       0.002829 ± 0        |        0.9972 ± 0         |
| Bin50  |           0 ± 0           |    0 ± 0     |        0.9974 ± 0         |       0.002829 ± 0        |        0.9972 ± 0         |
| Bin51  |           0 ± 0           |    0 ± 0     |        0.9974 ± 0         |       0.002829 ± 0        |        0.9972 ± 0         |
| Bin52  |           0 ± 0           |    0 ± 0     |        0.9974 ± 0         |       0.002829 ± 0        |        0.9972 ± 0         |
| Bin53  |           0 ± 0           |    0 ± 0     |        0.9974 ± 0         |       0.002829 ± 0        |        0.9972 ± 0         |
| Bin54  |           0 ± 0           |    0 ± 0     |        0.9974 ± 0         |       0.002829 ± 0        |        0.9972 ± 0         |
| Bin55  |           0 ± 0           |    0 ± 0     |        0.9974 ± 0         |       0.002829 ± 0        |        0.9972 ± 0         |
| Bin56  |           0 ± 0           |    0 ± 0     |        0.9974 ± 0         |       0.002829 ± 0        |        0.9972 ± 0         |
| Bin57  |           0 ± 0           |    0 ± 0     |        0.9974 ± 0         |       0.002829 ± 0        |        0.9972 ± 0         |
| Bin58  |           0 ± 0           |    0 ± 0     |        0.9974 ± 0         |       0.002829 ± 0        |        0.9972 ± 0         |
| Bin59  |           0 ± 0           |    0 ± 0     |        0.9974 ± 0         |       0.002829 ± 0        |        0.9972 ± 0         |
| Bin60  |           0 ± 0           |    0 ± 0     |           1 ± 0           |       0.002829 ± 0        |           1 ± 0           |
| Bin61  |           0 ± 0           |    0 ± 0     |           1 ± 0           |           0 ± 0           |           1 ± 0           |
| Bin62  |           0 ± 0           |    0 ± 0     |           1 ± 0           |           0 ± 0           |           1 ± 0           |
| Bin63  |           0 ± 0           |    0 ± 0     |           1 ± 0           |           0 ± 0           |           1 ± 0           |
| Bin64  |           0 ± 0           |    0 ± 0     |           1 ± 0           |           0 ± 0           |           1 ± 0           |
| Bin65  |           0 ± 0           |    0 ± 0     |           1 ± 0           |           0 ± 0           |           1 ± 0           |
| Bin66  |           0 ± 0           |    0 ± 0     |           1 ± 0           |           0 ± 0           |           1 ± 0           |
| Bin67  |           0 ± 0           |    0 ± 0     |           1 ± 0           |           0 ± 0           |           1 ± 0           |
| Bin68  |           0 ± 0           |    0 ± 0     |           1 ± 0           |           0 ± 0           |           1 ± 0           |
| Bin69  |           0 ± 0           |    0 ± 0     |           1 ± 0           |           0 ± 0           |           1 ± 0           |
| Bin70  |           0 ± 0           |    0 ± 0     |           1 ± 0           |           0 ± 0           |           1 ± 0           |
| Bin71  |           0 ± 0           |    0 ± 0     |           1 ± 0           |           0 ± 0           |           1 ± 0           |
| Bin72  |           0 ± 0           |    0 ± 0     |           1 ± 0           |           0 ± 0           |           1 ± 0           |
| Bin73  |           0 ± 0           |    0 ± 0     |           1 ± 0           |           0 ± 0           |           1 ± 0           |
| Bin74  |           0 ± 0           |    0 ± 0     |           1 ± 0           |           0 ± 0           |           1 ± 0           |
| Bin75  |           0 ± 0           |    0 ± 0     |           1 ± 0           |           0 ± 0           |           1 ± 0           |
| Bin76  |           0 ± 0           |    0 ± 0     |           1 ± 0           |           0 ± 0           |           1 ± 0           |
| Bin77  |           0 ± 0           |    0 ± 0     |           1 ± 0           |           0 ± 0           |           1 ± 0           |
| Bin78  |           0 ± 0           |    0 ± 0     |           1 ± 0           |           0 ± 0           |           1 ± 0           |
| Bin79  |           0 ± 0           |    0 ± 0     |           1 ± 0           |           0 ± 0           |           1 ± 0           |
| Bin80  |           0 ± 0           |    0 ± 0     |           1 ± 0           |           0 ± 0           |           1 ± 0           |
| Bin81  |           0 ± 0           |    0 ± 0     |           0 ± 0           |           0 ± 0           |           0 ± 0           |
+--------+---------------------------+--------------+---------------------------+---------------------------+---------------------------+
