+--------+--------------------------+-------------+---------------------------+---------------------------+---------------------------+
| Bin#   | #rightarrow 0.46 (0.00)  |    Total    | #leftarrow 0.49 (210.00)  | #rightarrow 0.97 (20.00)  | #leftarrow 0.98 (800.00)  |
| Bin45  |         0.29 ± 0         |  0.29 ± 0   |        0.9787 ± 0         |        0.09181 ± 0        |        0.9099 ± 0         |
| Bin46  |        0.2851 ± 0        | 0.2851 ± 0  |        0.9853 ± 0         |        0.09013 ± 0        |        0.9166 ± 0         |
| Bin47  |        0.2654 ± 0        | 0.2654 ± 0  |        0.9853 ± 0         |        0.08339 ± 0        |        0.9166 ± 0         |
| Bin48  |        0.2654 ± 0        | 0.2654 ± 0  |        0.9853 ± 0         |        0.08339 ± 0        |        0.9166 ± 0         |
| Bin49  |        0.2654 ± 0        | 0.2654 ± 0  |        0.9898 ± 0         |        0.08339 ± 0        |        0.9213 ± 0         |
| Bin50  |        0.2516 ± 0        | 0.2516 ± 0  |        0.9959 ± 0         |        0.07874 ± 0        |        0.9275 ± 0         |
| Bin51  |        0.2331 ± 0        | 0.2331 ± 0  |        0.9989 ± 0         |        0.07254 ± 0        |        0.9305 ± 0         |
| Bin52  |        0.224 ± 0         |  0.224 ± 0  |         1.002 ± 0         |        0.06948 ± 0        |        0.9335 ± 0         |
| Bin53  |        0.215 ± 0         |  0.215 ± 0  |        0.9581 ± 0         |        0.0665 ± 0         |        0.9335 ± 0         |
| Bin54  |          0 ± 0           |    0 ± 0    |        0.9596 ± 0         |        0.0665 ± 0         |        0.9351 ± 0         |
| Bin55  |          0 ± 0           |    0 ± 0    |        0.9596 ± 0         |        0.06491 ± 0        |        0.9351 ± 0         |
| Bin56  |          0 ± 0           |    0 ± 0    |         0.962 ± 0         |        0.06491 ± 0        |        0.9376 ± 0         |
| Bin57  |          0 ± 0           |    0 ± 0    |        0.9659 ± 0         |        0.06242 ± 0        |        0.9417 ± 0         |
| Bin58  |          0 ± 0           |    0 ± 0    |        0.9659 ± 0         |        0.05827 ± 0        |        0.9417 ± 0         |
| Bin59  |          0 ± 0           |    0 ± 0    |        0.9659 ± 0         |        0.05827 ± 0        |        0.9417 ± 0         |
