| Bin0   |           0 ± 0           |    0 ± 0    |          0 ± 0          |           0 ± 0           |          0 ± 0          |
| Bin1   |           1 ± 0           |    1 ± 0    |          0 ± 0          |           1 ± 0           |          0 ± 0          |
| Bin2   |           1 ± 0           |    1 ± 0    |          0 ± 0          |           1 ± 0           |          0 ± 0          |
| Bin3   |           1 ± 0           |    1 ± 0    |          0 ± 0          |           1 ± 0           |          0 ± 0          |
| Bin4   |           1 ± 0           |    1 ± 0    |          0 ± 0          |           1 ± 0           |          0 ± 0          |
| Bin5   |           1 ± 0           |    1 ± 0    |          0 ± 0          |           1 ± 0           |          0 ± 0          |
| Bin6   |           1 ± 0           |    1 ± 0    |          0 ± 0          |           1 ± 0           |          0 ± 0          |
| Bin7   |           1 ± 0           |    1 ± 0    |          0 ± 0          |           1 ± 0           |          0 ± 0          |
| Bin8   |           1 ± 0           |    1 ± 0    |          0 ± 0          |           1 ± 0           |          0 ± 0          |
| Bin9   |           1 ± 0           |    1 ± 0    |          0 ± 0          |           1 ± 0           |          0 ± 0          |
| Bin10  |           1 ± 0           |    1 ± 0    |          0 ± 0          |           1 ± 0           |          0 ± 0          |
| Bin11  |           1 ± 0           |    1 ± 0    |          0 ± 0          |           1 ± 0           |          0 ± 0          |
| Bin12  |           1 ± 0           |    1 ± 0    |          0 ± 0          |           1 ± 0           |          0 ± 0          |
| Bin13  |           1 ± 0           |    1 ± 0    |          0 ± 0          |           1 ± 0           |          0 ± 0          |
| Bin14  |           1 ± 0           |    1 ± 0    |          0 ± 0          |           1 ± 0           |          0 ± 0          |
| Bin15  |           1 ± 0           |    1 ± 0    |          0 ± 0          |           1 ± 0           |          0 ± 0          |
| Bin16  |           1 ± 0           |    1 ± 0    |          0 ± 0          |           1 ± 0           |          0 ± 0          |
| Bin17  |           1 ± 0           |    1 ± 0    |          0 ± 0          |           1 ± 0           |          0 ± 0          |
| Bin18  |           1 ± 0           |    1 ± 0    |          0 ± 0          |           1 ± 0           |          0 ± 0          |
| Bin19  |           1 ± 0           |    1 ± 0    |          0 ± 0          |           1 ± 0           |          0 ± 0          |
| Bin50  |        0.7763 ± 0         | 0.7763 ± 0  |       0.7809 ± 0        |        0.3094 ± 0         |        0.717 ± 0        |
| Bin51  |        0.7191 ± 0         | 0.7191 ± 0  |       0.7914 ± 0        |         0.283 ± 0         |       0.7275 ± 0        |
| Bin52  |        0.6962 ± 0         | 0.6962 ± 0  |       0.8107 ± 0        |        0.2725 ± 0         |       0.7467 ± 0        |
| Bin53  |        0.6534 ± 0         | 0.6534 ± 0  |       0.8442 ± 0        |        0.2533 ± 0         |       0.7803 ± 0        |
| Bin54  |         0.577 ± 0         |  0.577 ± 0  |       0.8743 ± 0        |        0.2197 ± 0         |       0.8106 ± 0        |
| Bin55  |        0.5062 ± 0         | 0.5062 ± 0  |       0.9057 ± 0        |        0.1894 ± 0         |       0.8424 ± 0        |
| Bin56  |        0.4293 ± 0         | 0.4293 ± 0  |       0.9322 ± 0        |        0.1576 ± 0         |       0.8694 ± 0        |
| Bin57  |         0.362 ± 0         |  0.362 ± 0  |       0.9636 ± 0        |        0.1306 ± 0         |       0.9016 ± 0        |
| Bin58  |        0.2789 ± 0         | 0.2789 ± 0  |       0.9897 ± 0        |        0.09835 ± 0        |       0.9285 ± 0        |
| Bin59  |         0.207 ± 0         |  0.207 ± 0  |       0.9479 ± 0        |        0.07154 ± 0        |       0.9432 ± 0        |
| Bin60  |           0 ± 0           |    0 ± 0    |       0.9855 ± 0        |        0.05683 ± 0        |       0.9841 ± 0        |
| Bin61  |           0 ± 0           |    0 ± 0    |          1 ± 0          |        0.0159 ± 0         |          1 ± 0          |
| Bin62  |           0 ± 0           |    0 ± 0    |          1 ± 0          |           0 ± 0           |          1 ± 0          |
| Bin63  |           0 ± 0           |    0 ± 0    |          1 ± 0          |           0 ± 0           |          1 ± 0          |
| Bin64  |           0 ± 0           |    0 ± 0    |          1 ± 0          |           0 ± 0           |          1 ± 0          |
| Bin65  |           0 ± 0           |    0 ± 0    |          1 ± 0          |           0 ± 0           |          1 ± 0          |
| Bin66  |           0 ± 0           |    0 ± 0    |          1 ± 0          |           0 ± 0           |          1 ± 0          |
| Bin67  |           0 ± 0           |    0 ± 0    |          1 ± 0          |           0 ± 0           |          1 ± 0          |
| Bin68  |           0 ± 0           |    0 ± 0    |          1 ± 0          |           0 ± 0           |          1 ± 0          |
| Bin69  |           0 ± 0           |    0 ± 0    |          1 ± 0          |           0 ± 0           |          1 ± 0          |
| Bin70  |           0 ± 0           |    0 ± 0    |          1 ± 0          |           0 ± 0           |          1 ± 0          |
| Bin71  |           0 ± 0           |    0 ± 0    |          1 ± 0          |           0 ± 0           |          1 ± 0          |
| Bin72  |           0 ± 0           |    0 ± 0    |          1 ± 0          |           0 ± 0           |          1 ± 0          |
| Bin73  |           0 ± 0           |    0 ± 0    |          1 ± 0          |           0 ± 0           |          1 ± 0          |
| Bin74  |           0 ± 0           |    0 ± 0    |          1 ± 0          |           0 ± 0           |          1 ± 0          |
| Bin75  |           0 ± 0           |    0 ± 0    |          1 ± 0          |           0 ± 0           |          1 ± 0          |
| Bin76  |           0 ± 0           |    0 ± 0    |          1 ± 0          |           0 ± 0           |          1 ± 0          |
| Bin77  |           0 ± 0           |    0 ± 0    |          1 ± 0          |           0 ± 0           |          1 ± 0          |
| Bin78  |           0 ± 0           |    0 ± 0    |          1 ± 0          |           0 ± 0           |          1 ± 0          |
| Bin79  |           0 ± 0           |    0 ± 0    |          1 ± 0          |           0 ± 0           |          1 ± 0          |
| Bin80  |           0 ± 0           |    0 ± 0    |          1 ± 0          |           0 ± 0           |          1 ± 0          |
| Bin81  |           0 ± 0           |    0 ± 0    |          0 ± 0          |           0 ± 0           |          0 ± 0          |
+--------+---------------------------+-------------+-------------------------+---------------------------+-------------------------+
