+--------+---------------------------+------------+-------------------------+---------------------------+-------------------------+
| Bin#   | #rightarrow 0.87 (-2.25)  |   Total    | #leftarrow 0.46 (6.00)  | #rightarrow 0.98 (-3.00)  | #leftarrow 0.96 (2.85)  |
| Bin51  |           0 ± 0           |   0 ± 0    |       0.7753 ± 0        |        0.2644 ± 0         |       0.7586 ± 0        |
| Bin52  |           0 ± 0           |   0 ± 0    |       0.8078 ± 0        |        0.2414 ± 0         |       0.7929 ± 0        |
| Bin53  |           0 ± 0           |   0 ± 0    |       0.8453 ± 0        |        0.2071 ± 0         |       0.8328 ± 0        |
| Bin54  |           0 ± 0           |   0 ± 0    |       0.8601 ± 0        |        0.1672 ± 0         |       0.8485 ± 0        |
| Bin55  |           0 ± 0           |   0 ± 0    |       0.8781 ± 0        |        0.1515 ± 0         |       0.8678 ± 0        |
| Bin56  |           0 ± 0           |   0 ± 0    |       0.8831 ± 0        |        0.1322 ± 0         |       0.8732 ± 0        |
| Bin57  |           0 ± 0           |   0 ± 0    |       0.9108 ± 0        |        0.1268 ± 0         |       0.9031 ± 0        |
| Bin58  |           0 ± 0           |   0 ± 0    |        0.941 ± 0        |        0.09694 ± 0        |       0.9357 ± 0        |
| Bin59  |           0 ± 0           |   0 ± 0    |       0.9612 ± 0        |        0.06432 ± 0        |       0.9576 ± 0        |
| Bin60  |           0 ± 0           |   0 ± 0    |       0.9943 ± 0        |        0.0424 ± 0         |       0.9937 ± 0        |
| Bin61  |           0 ± 0           |   0 ± 0    |          1 ± 0          |       0.006252 ± 0        |          1 ± 0          |
| Bin62  |           0 ± 0           |   0 ± 0    |          1 ± 0          |           0 ± 0           |          1 ± 0          |
| Bin63  |           0 ± 0           |   0 ± 0    |          1 ± 0          |           0 ± 0           |          1 ± 0          |
| Bin64  |           0 ± 0           |   0 ± 0    |          1 ± 0          |           0 ± 0           |          1 ± 0          |
| Bin65  |           0 ± 0           |   0 ± 0    |          1 ± 0          |           0 ± 0           |          1 ± 0          |
| Bin66  |           0 ± 0           |   0 ± 0    |          1 ± 0          |           0 ± 0           |          1 ± 0          |
| Bin67  |           0 ± 0           |   0 ± 0    |          1 ± 0          |           0 ± 0           |          1 ± 0          |
| Bin68  |           0 ± 0           |   0 ± 0    |          1 ± 0          |           0 ± 0           |          1 ± 0          |
| Bin69  |           0 ± 0           |   0 ± 0    |          1 ± 0          |           0 ± 0           |          1 ± 0          |
| Bin70  |           0 ± 0           |   0 ± 0    |          1 ± 0          |           0 ± 0           |          1 ± 0          |
| Bin71  |           0 ± 0           |   0 ± 0    |          1 ± 0          |           0 ± 0           |          1 ± 0          |
| Bin72  |           0 ± 0           |   0 ± 0    |          1 ± 0          |           0 ± 0           |          1 ± 0          |
| Bin73  |           0 ± 0           |   0 ± 0    |          1 ± 0          |           0 ± 0           |          1 ± 0          |
| Bin74  |           0 ± 0           |   0 ± 0    |          1 ± 0          |           0 ± 0           |          1 ± 0          |
| Bin75  |           0 ± 0           |   0 ± 0    |          1 ± 0          |           0 ± 0           |          1 ± 0          |
| Bin76  |           0 ± 0           |   0 ± 0    |          1 ± 0          |           0 ± 0           |          1 ± 0          |
| Bin77  |           0 ± 0           |   0 ± 0    |          1 ± 0          |           0 ± 0           |          1 ± 0          |
| Bin78  |           0 ± 0           |   0 ± 0    |          1 ± 0          |           0 ± 0           |          1 ± 0          |
| Bin79  |           0 ± 0           |   0 ± 0    |          1 ± 0          |           0 ± 0           |          1 ± 0          |
| Bin80  |           0 ± 0           |   0 ± 0    |          1 ± 0          |           0 ± 0           |          1 ± 0          |
| Bin81  |           0 ± 0           |   0 ± 0    |          0 ± 0          |           0 ± 0           |          0 ± 0          |
+--------+---------------------------+------------+-------------------------+---------------------------+-------------------------+
