+--------+---------------------------+------------+---------------------------+---------------------------+---------------------------+
| Bin#   | #rightarrow 0.66 (78.12)  |   Total    | #leftarrow 0.46 (250.00)  | #rightarrow 0.97 (65.62)  | #leftarrow 0.98 (134.38)  |
| Bin50  |           0 ± 0           |   0 ± 0    |        0.9902 ± 0         |        0.01355 ± 0        |        0.9893 ± 0         |
| Bin51  |           0 ± 0           |   0 ± 0    |        0.9917 ± 0         |        0.01072 ± 0        |        0.9909 ± 0         |
| Bin52  |           0 ± 0           |   0 ± 0    |        0.9917 ± 0         |       0.009069 ± 0        |        0.9909 ± 0         |
| Bin53  |           0 ± 0           |   0 ± 0    |        0.9936 ± 0         |       0.009069 ± 0        |         0.993 ± 0         |
| Bin54  |           0 ± 0           |   0 ± 0    |        0.9936 ± 0         |       0.007023 ± 0        |         0.993 ± 0         |
| Bin55  |           0 ± 0           |   0 ± 0    |        0.9936 ± 0         |       0.007023 ± 0        |         0.993 ± 0         |
| Bin56  |           0 ± 0           |   0 ± 0    |        0.9936 ± 0         |       0.007023 ± 0        |         0.993 ± 0         |
| Bin57  |           0 ± 0           |   0 ± 0    |        0.9936 ± 0         |       0.007023 ± 0        |         0.993 ± 0         |
| Bin58  |           0 ± 0           |   0 ± 0    |        0.9962 ± 0         |       0.007023 ± 0        |        0.9958 ± 0         |
| Bin59  |           0 ± 0           |   0 ± 0    |        0.9962 ± 0         |       0.004193 ± 0        |        0.9958 ± 0         |
| Bin60  |           0 ± 0           |   0 ± 0    |        0.9962 ± 0         |       0.004193 ± 0        |        0.9958 ± 0         |
| Bin61  |           0 ± 0           |   0 ± 0    |        0.9962 ± 0         |       0.004193 ± 0        |        0.9958 ± 0         |
| Bin62  |           0 ± 0           |   0 ± 0    |        0.9962 ± 0         |       0.004193 ± 0        |        0.9958 ± 0         |
| Bin63  |           0 ± 0           |   0 ± 0    |        0.9962 ± 0         |       0.004193 ± 0        |        0.9958 ± 0         |
| Bin64  |           0 ± 0           |   0 ± 0    |        0.9962 ± 0         |       0.004193 ± 0        |        0.9958 ± 0         |
| Bin65  |           0 ± 0           |   0 ± 0    |        0.9962 ± 0         |       0.004193 ± 0        |        0.9958 ± 0         |
| Bin66  |           0 ± 0           |   0 ± 0    |        0.9962 ± 0         |       0.004193 ± 0        |        0.9958 ± 0         |
| Bin67  |           0 ± 0           |   0 ± 0    |        0.9962 ± 0         |       0.004193 ± 0        |        0.9958 ± 0         |
| Bin68  |           0 ± 0           |   0 ± 0    |        0.9962 ± 0         |       0.004193 ± 0        |        0.9958 ± 0         |
| Bin69  |           0 ± 0           |   0 ± 0    |           1 ± 0           |       0.004193 ± 0        |           1 ± 0           |
| Bin70  |           0 ± 0           |   0 ± 0    |           1 ± 0           |           0 ± 0           |           1 ± 0           |
| Bin71  |           0 ± 0           |   0 ± 0    |           1 ± 0           |           0 ± 0           |           1 ± 0           |
| Bin72  |           0 ± 0           |   0 ± 0    |           1 ± 0           |           0 ± 0           |           1 ± 0           |
| Bin73  |           0 ± 0           |   0 ± 0    |           1 ± 0           |           0 ± 0           |           1 ± 0           |
| Bin74  |           0 ± 0           |   0 ± 0    |           1 ± 0           |           0 ± 0           |           1 ± 0           |
| Bin75  |           0 ± 0           |   0 ± 0    |           1 ± 0           |           0 ± 0           |           1 ± 0           |
| Bin76  |           0 ± 0           |   0 ± 0    |           1 ± 0           |           0 ± 0           |           1 ± 0           |
| Bin77  |           0 ± 0           |   0 ± 0    |           1 ± 0           |           0 ± 0           |           1 ± 0           |
| Bin78  |           0 ± 0           |   0 ± 0    |           1 ± 0           |           0 ± 0           |           1 ± 0           |
| Bin79  |           0 ± 0           |   0 ± 0    |           1 ± 0           |           0 ± 0           |           1 ± 0           |
| Bin80  |           0 ± 0           |   0 ± 0    |           1 ± 0           |           0 ± 0           |           1 ± 0           |
| Bin81  |           0 ± 0           |   0 ± 0    |           0 ± 0           |           0 ± 0           |           0 ± 0           |
+--------+---------------------------+------------+---------------------------+---------------------------+---------------------------+
