imax 4 number of channels
jmax 1 number of backgrounds
kmax * number of nuisance parameters
shapes * * FAKE
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
bin                                                                                    A                           B                           C                           D
observation                                                                            8                         429                         733                       41595
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
bin                                                                                    A                           B                           C                           D                           A                           B                           C                           D
process                                                                         TotalSig                    TotalSig                    TotalSig                    TotalSig  TotalBkg_AllHad_SemiMerged  TotalBkg_AllHad_SemiMerged  TotalBkg_AllHad_SemiMerged  TotalBkg_AllHad_SemiMerged
process                                                                                0                           0                           0                           0                           1                           1                           1                           1
rate                                                                                0.09                        0.20                        0.20                        0.54                        1.00                        1.00                        1.00                        1.00
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
CMS_vbsvvhjets_abcd_syst                              lnN                              -                           -                           -                           -                      1.1820                           -                           -                           -
CMS_LHE_weights_pdf_vbsvvh                            lnN                         1.0935                      1.0709                      1.0346                      1.0098                           -                           -                           -                           -
CMS_LHE_weights_scale_muR_vbsvvh                      lnN                         1.0000                      1.0000                      1.0000                      1.0000                           -                           -                           -                           -
CMS_LHE_weights_scale_muF_vbsvvh                      lnN                         1.2812                      1.2624                      1.2359                      1.1977                           -                           -                           -                           -
CMS_PSWeight_ISR_vbsvvh                               lnN                         1.0088                      1.0121                      1.0050                      1.0113                           -                           -                           -                           -
CMS_PSWeight_FSR_vbsvvh                               lnN                         1.0479                      1.0316                      1.0353                      1.0473                           -                           -                           -                           -
CMS_vbsvvh_puWeight                                   lnN                         1.0138                      1.0211                      1.0121                      1.0169                           -                           -                           -                           -
CMS_vbsvvh_puJetId                                    lnN                         1.0104                      1.0121                      1.0103                      1.0114                           -                           -                           -                           -
CMS_PrefireWeight_13TeV                               lnN                         1.0072                      1.0096                      1.0083                      1.0106                           -                           -                           -                           -
CMS_vbsvvhjets_mcstatA                                lnN                         1.0139                           -                           -                           -                           -                           -                           -                           -
CMS_vbsvvhjets_mcstatB                                lnN                              -                      1.0124                           -                           -                           -                           -                           -                           -
CMS_vbsvvhjets_mcstatC                                lnN                              -                           -                      1.0102                           -                           -                           -                           -                           -
CMS_vbsvvhjets_mcstatD                                lnN                              -                           -                           -                      1.0085                           -                           -                           -                           -
CMS_vbsvvhjets_bTagWeightXbb_13TeV_16preVFP           lnN                         1.0337                      1.0309                      1.0285                      1.0259                           -                           -                           -                           -
CMS_vbsvvhjets_bTagWeightXbb_13TeV_16postVFP          lnN                         1.0256                      1.0222                      1.0210                      1.0200                           -                           -                           -                           -
CMS_vbsvvhjets_bTagWeightXbb_13TeV_17                 lnN                         1.0227                      1.0255                      1.0262                      1.0274                           -                           -                           -                           -
CMS_vbsvvhjets_bTagWeightXbb_13TeV_18                 lnN                         1.0139                      1.0146                      1.0170                      1.0174                           -                           -                           -                           -
CMS_vbsvvhjets_qTagWeightXWqq_ldVqq_13TeV_16preVFP    lnN                         1.0170                      1.0156                      1.0104                      1.0092                           -                           -                           -                           -
CMS_vbsvvhjets_qTagWeightXWqq_ldVqq_13TeV_16postVFP   lnN                         1.0162                      1.0146                      1.0099                      1.0089                           -                           -                           -                           -
CMS_vbsvvhjets_qTagWeightXWqq_ldVqq_13TeV_17          lnN                         1.0268                      1.0287                      1.0173                      1.0174                           -                           -                           -                           -
CMS_vbsvvhjets_qTagWeightXWqq_ldVqq_13TeV_18          lnN                         1.0310                      1.0297                      1.0193                      1.0191                           -                           -                           -                           -
CMS_scale_j_Absolute_13TeV                            lnN                         1.0780                      1.0916                      1.0555                      1.0541                           -                           -                           -                           -
CMS_scale_j_Absolute_2016postVFP_13TeV                lnN                         1.0051                      1.0051                      1.0016                      1.0007                           -                           -                           -                           -
CMS_scale_j_Absolute_2016preVFP_13TeV                 lnN                         1.0043                      1.0046                      1.0003                      1.0009                           -                           -                           -                           -
CMS_scale_j_Absolute_2017_13TeV                       lnN                         1.0108                      1.0116                      1.0100                      1.0081                           -                           -                           -                           -
CMS_scale_j_Absolute_2018_13TeV                       lnN                         1.0102                      1.0106                      1.0049                      1.0042                           -                           -                           -                           -
